600	0.0273796
650	0.0161124
700	0.00985312
750	0.00627699
800	0.00407684
850	0.00272696
900	0.0018528
950	0.00128639
1000	0.000904495
1050	0.000645606
1100	0.000467365
1150	0.000338696
1200	0.00024974
1250	0.00018542
1300	0.000138828
1350	0.000104333
1400	7.90043e-05
1450	6.03243e-05
1500	4.62216e-05
1550	3.57183e-05
1600	2.75736e-05
1650	2.14556e-05
1700	1.66753e-05
1750	1.30649e-05
1800	1.02514e-05
1850	8.0938e-06
1900	6.40557e-06
1950	5.05809e-06
2000	4.02985e-06
2050	3.20608e-06
2100	2.54609e-06
2150	2.03967e-06
2200	1.63864e-06
2250	1.30909e-06
2300	1.05113e-06
2350	8.46714e-07
2400	6.8253e-07
2450	5.51701e-07
2500	4.46008e-07
